article_slug,type,total_ctas,button_ctas,word_count,density,flagged
12-x-20-gazebo,buyer_guide,4,0,2282,1.75,False
12x20-greenhouse-kit,roundup,5,0,2754,1.82,False
40v-cordless-leaf-blower,roundup,4,0,2307,1.73,False
adirondack-chair-folding,roundup,8,0,3118,2.57,False
adirondack-sunbrella-chair-cushions,review,6,5,2284,2.63,False
aluminum-greenhouse-frame-kit,review,5,4,2237,2.24,False
backyard-greenhouse-small,informational,2,0,2377,0.84,False
battery-operated-sprinkler-timer,roundup,5,0,2901,1.72,False
battery-sprinkler-timer,roundup,13,0,2739,4.75,False
battery-stihl-chainsaw,review,5,3,2234,2.24,False
best-deer-repellent-devices,roundup,4,0,1947,2.05,False
best-fire-pit-tables,roundup,5,0,1986,2.52,False
best-gazebo-for-high-winds,roundup,2,0,1821,1.1,False
best-kitchen-compost-bin-no-fruit-flies-ordor,roundup,5,0,2973,1.68,False
best-pergola-kits,roundup,4,0,2293,1.74,False
best-security-lights-outdoor,roundup,4,0,2020,1.98,False
best-solar-lights-for-the-garden,roundup,4,0,1931,2.07,False
best-ultrasonic-deer-repeller,roundup,2,0,2599,0.77,False
bird-bath-for-deck-railing,roundup,7,0,3082,2.27,False
bird-bath-pedestal,roundup,6,0,2879,2.08,False
bird-bath-water-wiggler,roundup,5,0,2240,2.23,False
bird-feeder-baffles-for-squirrels,roundup,12,0,2094,5.73,False
bird-feeder-for-deck,roundup,13,0,2777,4.68,False
bird-feeder-for-finches,buyer_guide,4,0,2144,1.87,False
bird-feeder-for-mealworms,roundup,4,0,2584,1.55,False
bird-feeder-for-peanuts,roundup,4,0,2833,1.41,False
bird-feeder-for-window,roundup,8,0,2344,3.41,False
bird-feeder-pole-with-squirrel-baffle,roundup,10,0,2977,3.36,False
bird-feeder-ring,review,6,4,2204,2.72,False
birdies-metal-raised-garden-beds,review,5,4,2064,2.42,False
black-compost-bin,roundup,4,0,2595,1.54,False
black-soldier-fly-compost-bin,buyer_guide,8,0,2500,3.2,False
blow-up-outdoor-sofa,buyer_guide,4,0,1900,2.11,False
